Participant ID,TreatmentPeopleProximity,TreatmentNoiseLevel,TreatmentDelay,TreatmentIsolation,TreatmentAnxiety,TreatmentRealLifeLikelihood
U0667,Somewhat far,Neither,Very Low,Very Low,Very Low,Very Likely
83U14,Neither,Somewhat loud,Somewhat Low,Neither,Somewhat High,Unlikely
LEYWK,Neither,Neither,Very Low,Very Low,Very Low,Very Likely
7H5IH,Very far,Somewhat quiet,Very Low,Very Low,Somewhat Low,Neither
UET9E,Somewhat far,Neither,Somewhat Low,Very Low,Neither,Very Likely
2UXUJ,Neither,Neither,Very Low,Very Low,Very Low,Likely
ERGPL,Somewhat close,Neither,Very Low,Very Low,Very Low,Unlikely
DXUBI,Neither,Somewhat quiet,Very Low,Very Low,Somewhat Low,Likely
8BM2Y,Very Close,Very quiet,Very Low,Very Low,Very Low,Very Likely
FXV3D,Somewhat close,Neither,Very Low,Very Low,Very Low,Very Unlikely
HQEDB,Somewhat close,Neither,Very Low,Very Low,Very Low,Likely
8O8VB,Somewhat close,Neither,Very Low,Very Low,Very Low,Likely
CHWKI,Somewhat far,Somewhat quiet,Very Low,Very Low,Very Low,Unlikely
0P9C0,Neither,Neither,Very Low,Neither,Very Low,Likely
T6MS9,Neither,Somewhat quiet,Very Low,Very Low,Very Low,Unlikely
2628E,Somewhat far,Very quiet,Very Low,Very Low,Very Low,Likely
AQQPS,Somewhat close,Neither,Very Low,Very Low,Very Low,Likely
3736C,Neither,Neither,Somewhat Low,Somewhat Low,Neither,Likely
XB4P5,Somewhat close,Somewhat quiet,Very Low,Somewhat Low,Neither,Likely
0YJK3,Neither,Neither,Somewhat Low,Very Low,Very Low,Likely
PSSK3,Neither,Somewhat quiet,Very Low,Very Low,Very Low,Likely
QM19L,Neither,Somewhat quiet,Somewhat Low,Somewhat Low,Very Low,Likely
WLWQR,Neither,Neither,Somewhat Low,Very Low,Somewhat Low,Very Likely
PJ9ZH,Neither,Somewhat quiet,Very Low,Somewhat Low,Very Low,Neither
KVYRQ,Neither,Neither,Very Low,Somewhat High,Very Low,Very Likely
2KVXD,Neither,Neither,Very High,Very High,Very High,Very Unlikely
RAE2N,Somewhat close,Neither,Very Low,Very Low,Very Low,Likely
NN4EB,Neither,Somewhat quiet,Neither,Very Low,Very Low,Neither
U0Q9S,Neither,Neither,Very Low,Very Low,Very Low,Neither
N6L3T,Neither,Somewhat quiet,Very Low,Somewhat Low,Somewhat Low,Likely
CXTJX,Somewhat close,Neither,Very Low,Very Low,Somewhat Low,Likely
NS9D9,Somewhat far,Neither,Very Low,Very Low,Very Low,Neither
DY7B2,Neither,Neither,Very Low,Very Low,Very Low,Neither
GA4G5,Neither,Neither,Very Low,Very Low,Very Low,Very Likely
ZHF7X,Neither,Somewhat quiet,Very Low,Very Low,Very Low,Likely